SpeciesId,CU,CU_Name,BroodYear,Escape,TR2,TR3,TR4,TR5,TR6,TR7,Total,Total ER,Age2,Age3,Age4,Age5,Age6,Age7
CM,CM_12,Smith Inlet,1954,48215.80646,,25485.6325,52713.17161,2055.781291,0,0,80254.58539,0.377098925,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1955,10366.39839,,50443.22642,19754.40413,2940.15224,0,0,73137.78279,0.697470725,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1956,28929.48388,,18903.73601,28252.49739,1894.943792,0,0,49051.17719,0.302135773,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1957,30134.87904,,27035.88267,18208.88517,3708.011998,0,0,48952.77984,0.450991908,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1958,91610.03227,,17424.7705,35631.01184,5195.353625,0,0,58251.13596,0.156772253,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1959,28326.7863,,34096.66205,49923.16816,5850.523477,0,0,89870.35369,0.304248147,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1960,36793.3575,,47773.36666,56218.8233,810.0791768,0,0,104802.2691,0.368121503,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1961,22811.88165,,53797.91703,7784.209101,145.3514201,0,0,61727.47755,0.392146737,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1962,48567.2319,,7449.003925,1396.710197,3531.477062,0,0,12377.19118,0.338642633,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1963,68435.64494,,1336.564782,33934.65315,6829.418479,0,0,42100.63641,0.334878133,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1964,67405.43093,,32473.3523,65625.21665,2109.860786,0,0,100208.4297,0.418253019,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1965,4709.54976,,62799.25038,20274.06457,7519.487174,0,0,90592.80212,0.706447424,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1966,1471.7343,,19401.01872,72256.22158,1940.917707,0,0,93598.15801,0.488737302,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1967,45403.00315,,69144.70965,18650.6575,7343.800721,0,0,95139.16787,0.350824434,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1968,54674.92924,,17847.51914,70568.01612,12279.47515,0,0,100695.0104,0.59576075,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1969,7800.191789,,67529.20203,117995.8762,4292.56047,0,0,189817.6387,0.813325303,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1970,54233.00992,,112914.714,41248.05233,1585.927773,0,0,155748.6941,0.63582556,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1971,25774.64767,,39471.82041,15239.48986,2141.252754,0,0,56852.56303,0.329467874,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1972,101977.9538,,14583.24389,20575.71611,8893.111185,0,0,44052.07119,0.298836363,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1973,150165.3386,,19689.68049,85455.64311,6308.620209,0,0,111453.9438,0.382518614,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1974,61635.02704,,81775.73503,60620.76431,1394.994159,0,0,143791.4935,0.274988085,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1975,23533.37396,,58010.30077,13404.77146,6844.938403,0,0,78260.01063,0.250736172,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1976,25774.64767,,12827.53249,65774.35063,6990.382486,0,0,85592.26561,0.392202684,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1977,103098.5907,,62941.96233,67171.95124,8632.286236,0,0,138746.1998,0.414626603,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1978,75249.4405,,64279.37918,82949.32521,4212.377277,0,0,151441.0817,0.397713862,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1979,17418.85197,,79377.3447,40477.55636,2127.510658,0,0,121982.4117,0.369505773,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1980,113991.5901,,38734.50369,20443.66563,3823.177105,0,0,63001.34643,0.159113766,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1981,118200.5103,,19563.3164,36737.65585,9740.255594,0,0,66041.22784,0.146207398,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1982,154327.0758,,35155.65154,93596.01927,5141.3761,0,0,133893.0469,0.097285809,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1983,77689.65294,,89565.56868,49404.48758,5956.976171,0,0,144927.0324,0.06874226,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1984,33671.362,,47277.0216,57241.74803,2710.886579,0,0,107229.6562,0.200859917,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1985,54014.47654,,54776.79237,26049.43885,5656.95708,0,0,86483.1883,0.28662197,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1986,136412.0892,,24927.69268,54358.80597,3617.725196,0,0,82904.22384,0.292841962,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1987,80481.50677,,52017.99614,34763.42832,2423.224619,0,0,89204.64908,0.209593143,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1988,92675.67446,,33266.43858,23285.23887,2165.039507,0,0,58716.71696,0.214449937,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1989,31989.36658,,22282.52523,20804.28768,2583.788372,0,0,45670.60128,0.404161902,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1990,70550.02526,,19908.40926,24828.12734,4670.108271,0,0,49406.64488,0.370278872,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1991,47709.62566,,23758.97354,44875.98292,2366.201128,0,0,71001.15759,0.334107061,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1992,23106.07925,,42943.52433,22737.289,561.3793053,0,0,66242.19263,0.518532961,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1993,27373.05556,,21758.17129,5394.40344,845.1481135,0,0,27997.72284,0.361602131,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1994,31237.48694,,5162.108555,8121.193367,1365.895941,0,0,14649.19786,0.389545748,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1995,75356.41178,,7771.476906,13125.161,2576.992058,0,0,23473.62996,0.185244621,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1996,46051.14053,,12559.96268,24762.82024,4817.81224,0,0,42140.59515,0.017296034,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1997,11117.8913,,23696.4787,46295.29923,6705.253597,0,0,76697.03152,0,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1998,16737.81839,,44301.72175,64432.09204,5873.248335,0,0,114607.0621,0,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1999,27051.01961,,61657.50434,56437.1909,5238.302569,0,0,123332.9978,0,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2000,51036.29099,,54006.88124,50335.87296,1973.857991,0,0,106316.6122,0,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2001,95414.83322,,48168.29949,18967.18713,3625.004408,0,0,70760.49103,0,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2002,132794.85,,18150.41831,34833.37569,1560.626651,0,0,54544.42065,0,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2003,116317.3205,,33333.37386,14996.36644,1218.286636,0,0,49548.02694,0,,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2004,103742.475,,14350.58989,11706.75434,1501.635913,0,0,27558.98015,0,,0.4643,0.4852,0.05049,0,0
